"user_id","age","gender","married","has_children","home_country","home_city","home_airport","home_airport_lat","home_airport_lon","sign_up_date","total_clicks","total_nights","total_rooms","avg_hotel_per_room_usd","avg_base_fare_usd","session_count","avg_session_duration_in_seconds","total_cancellation","total_flight_with_discount","total_hotel_with_discount","avg_flight_discount","avg_hotel_discount","con_rate_flights","con_rate_hotels","con_rate_combined","total_return_flight_booked","age_bucket","family_status","activity_level","cancellation_behavior","discount_usage_behavior","booking_type_preference","interaction_duration","loyalty_level","hotel_price_category","flight_fare_category","total_trips","total_flight_booked","total_hotel_booked","total_seats","money_spent_hotel","money_spent_filght","money_spent_booking","total_time_before_trip","miles_flown"
"510179","58","F","true","false","usa","jacksonville","NCA","34.708","-77.439","2023-01-04","130","11","6","200.75","1708.40","8","121","0","1","0","0.15","","0.50","0.50","1.00","4","50+","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Luxury","5","8","4","7","2717","6833.58","9550.58","388","19911.31"
"510185","45","F","true","false","usa","houston","HOU","29.645","-95.279","2023-01-04","157","20","5","178.25","357.55","8","146","0","2","1","0.20","0.05","0.38","0.50","0.88","2","36-50","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","4","5","4","3","7456.10","1072.65","8528.75","22","7612.23"
"510188","36","F","false","false","usa","san antonio","SAT","29.534","-98.47","2023-01-04","614","48","7","244.00","1973.25","11","1460","2","3","3","0.05","0.05","0.55","0.64","1.18","5","36-50","Single With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Long Sessions","Frequent Traveler","Mid-Range","Luxury","4","6","3","3","942","1168.57","2110.57","20","6882.31"
"510195","54","M","true","false","usa","houston","IAH","29.98","-95.34","2023-01-04","134","20","4","234.00","304.92","8","125","0","1","0","0.25","","0.38","0.50","0.88","3","50+","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","4","6","4","3","4048","863.7000","4911.7000","15","5385.85"
"510198","32","F","false","false","usa","new york","JFK","40.64","-73.779","2023-01-04","201","7","3","224.00","412.30","9","166","0","3","2","0.17","0.10","0.33","0.33","0.67","3","26-35","Single With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","3","6","3","3","1499.20","1164.136","2663.336","22","6896.02"
"510213","41","F","true","true","canada","toronto","YTZ","43.627","-79.396","2023-01-04","183","9","4","208.75","120.30","8","170","0","0","0","","","0.50","0.50","1.00","4","36-50","Married With Children","High Activity","Low Cancellation","Non-Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Budget","5","8","4","5","1775","481.18","2256.18","24","2179.33"
"510215","30","F","true","false","usa","mobile","MOB","30.691","-88.243","2023-01-04","190","27","3","86.00","256.62","9","157","0","1","1","0.10","0.15","0.11","0.33","0.44","1","26-35","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Budget","Mid-Range","3","2","3","1","2065.80","256.62","2322.42","6","1599.14"
"510219","44","M","true","false","canada","montreal","YUL","45.468","-73.741","2023-01-04","144","8","2","137.00","352.52","8","135","0","2","1","0.08","0.15","0.38","0.25","0.63","2","36-50","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Mid-Range","3","5","2","3","1128","1057.56","2185.56","19","5656.81"
"510227","33","M","false","false","usa","tulsa","TUL","36.198","-95.888","2023-01-04","77","4","2","135.00","309.26","8","72","0","0","1","","0.20","0.25","0.25","0.50","2","26-35","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Mid-Range","2","4","2","2","346","618.52","964.52","15","3285.90"
"510238","42","F","false","true","usa","new york","LGA","40.777","-73.872","2023-01-04","104","4","4","356.00","875.84","8","96","0","1","0","0.05","","0.38","0.38","0.75","3","36-50","Single With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Luxury","Mid-Range","3","6","3","4","2027","2627.53","4654.53","18","10058.64"
"510239","56","F","true","true","usa","santa ana","SNA","33.676","-117.868","2023-01-04","115","12","2","384.00","23.55","8","107","0","0","3","","0.13","0.13","0.25","0.38","1","50+","Married With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Luxury","Budget","2","2","2","1","4076.40","23.55","4099.95","6","124.31"
"510243","43","F","true","false","canada","windsor","YQG","42.276","-82.956","2023-01-04","125","5","2","161.50","144.45","8","115","0","0","1","","0.20","0.38","0.25","0.63","3","36-50","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Budget","3","6","2","3","965","433.34","1398.34","24","2503.85"
"510257","50","F","true","false","usa","las vegas","LSV","36.236","-115.034","2023-01-04","69","1","2","39.00","798.11","8","64","0","0","0","","","0.25","0.13","0.38","2","36-50","Married With No Children","High Activity","Low Cancellation","Non-Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Budget","Mid-Range","2","4","1","3","78","1596.22","1674.22","9","5852.32"
"510270","47","F","true","true","usa","columbus","LCK","39.814","-82.928","2023-01-04","169","","","","786.29","8","158","0","0","0","","","0.13","0.00","0.13","1","36-50","Married With Children","High Activity","Low Cancellation","Non-Discount User","Flight Only","Short Sessions","Infrequent Traveler","Unknown","Mid-Range","1","2","0","2","","786.29","","6","2190.12"
"510283","18","F","false","false","canada","edmonton","YED","53.667","-113.467","2023-01-04","98","","","","","8","92","0","2","1","0.10","0.20","0.00","0.00","0.00","0","17-25","Single With No Children","High Activity","No Flights Booked","Occasional Discount User","No Bookings","Short Sessions","No Bookings","Unknown","Unknown","","","","","","","","",""
"510315","44","F","false","false","usa","norfolk","NGU","36.938","-76.289","2023-01-04","227","1","1","231.00","82.35","8","209","0","2","0","0.20","","0.25","0.13","0.38","2","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Budget","2","4","1","2","231","152.3580","383.3580","15","936.37"
"510316","18","F","false","true","usa","phoenix","PHX","33.434","-112.008","2023-01-04","153","17","1","121.00","","8","143","0","3","0","0.12","","0.00","0.13","0.13","0","17-25","Single With Children","High Activity","Low Cancellation","Occasional Discount User","Hotel Only","Short Sessions","Infrequent Traveler","Mid-Range","Unknown","1","0","1","","2057","","","",""
"510326","42","M","false","false","canada","quebec","YQB","46.788","-71.398","2023-01-04","210","21","8","191.33","277.78","8","195","0","2","2","0.13","0.10","0.75","0.75","1.50","5","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","6","11","6","8","4850.65","1552.276","6402.926","45","9203.36"
"510328","37","F","false","false","usa","detroit","DET","42.409","-83.01","2023-01-04","174","9","4","161.25","235.88","8","162","0","1","1","0.05","0.15","0.63","0.50","1.13","5","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","5","10","4","5","1221.80","1179.38","2401.18","34","6515.22"
"510343","39","F","true","true","usa","oklahoma city","OKC","35.393","-97.601","2023-01-04","237","13","7","140.17","320.74","9","369","1","2","2","0.05","0.20","0.67","0.67","1.33","6","36-50","Married With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Mid-Range","4","8","4","5","2242.2","1180.4745","3422.6745","30","5437.82"
"510356","52","F","true","false","usa","wichita","ICT","37.65","-97.433","2023-01-04","101","8","2","127.50","282.67","8","95","0","1","1","0.05","0.05","0.25","0.25","0.50","1","50+","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Mid-Range","2","3","2","2","1101","545.3475","1646.3475","9","4087.94"
"510365","46","F","false","false","usa","boston","BOS","42.364","-71.005","2023-01-04","102","18","6","195.00","537.26","8","95","0","0","1","","0.05","0.50","0.50","1.00","4","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","4","8","4","6","7009","2149.02","9158.02","22","10476.97"
"510369","50","F","false","false","usa","bakersfield","BFL","35.433","-119.057","2023-01-04","149","14","3","107.00","473.36","8","138","0","4","0","0.13","","0.38","0.38","0.75","3","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","3","6","3","3","1578","1399.6585","2977.6585","20","8135.51"
"510379","19","F","false","false","usa","san francisco","SFO","37.619","-122.375","2023-01-04","93","3","1","101.00","","8","88","0","2","0","0.15","","0.00","0.13","0.13","0","17-25","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Hotel Only","Short Sessions","Infrequent Traveler","Mid-Range","Unknown","1","0","1","","303","","","",""
"510393","50","M","false","false","canada","calgary","YYC","51.114","-114.02","2023-01-04","121","9","1","88.00","404.58","8","114","0","0","0","","","0.13","0.13","0.25","1","36-50","Single With No Children","High Activity","Low Cancellation","Non-Discount User","Both Flight and Hotel","Short Sessions","Infrequent Traveler","Budget","Mid-Range","1","2","1","1","792","404.58","1196.58","8","2106.71"
"510418","36","F","true","true","usa","dallas","DAL","32.847","-96.852","2023-01-04","86","","","","","9","71","0","2","1","0.10","0.05","0.00","0.00","0.00","0","36-50","Married With Children","High Activity","No Flights Booked","Occasional Discount User","No Bookings","Short Sessions","No Bookings","Unknown","Unknown","","","","","","","","",""
"510423","53","M","true","true","usa","oakland","OAK","37.721","-122.221","2023-01-04","110","7","1","149.00","105.21","8","103","0","2","1","0.05","0.10","0.13","0.13","0.25","1","50+","Married With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Infrequent Traveler","Mid-Range","Budget","2","2","1","1","938.7","105.21","1043.91","7","537.62"
"510449","53","F","false","true","usa","charlotte","CLT","35.214","-80.943","2023-01-04","227","4","3","124.67","172.99","9","187","0","3","0","0.23","","0.44","0.33","0.78","4","50+","Single With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Budget","4","8","3","4","498","635.8305","1133.8305","34","3915.80"
"510452","55","F","false","false","canada","toronto","YKZ","43.862","-79.37","2023-01-04","125","14","4","248.00","274.55","8","116","0","5","1","0.16","0.15","0.50","0.50","1.00","4","50+","Single With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","4","8","4","4","4086.40","1032.7985","5119.1985","21","6061.23"
"510459","31","M","false","false","canada","ottawa","YOW","45.323","-75.669","2023-01-04","157","7","4","129.00","274.88","8","147","0","0","1","","0.20","0.38","0.38","0.75","2","26-35","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","3","5","3","4","1527","824.64","2351.64","21","4456.86"
"510490","71","F","true","false","usa","milwaukee","MKE","42.947","-87.896","2023-01-04","115","4","1","154.00","","8","108","0","2","1","0.05","0.10","0.00","0.13","0.13","0","50+","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Hotel Only","Short Sessions","Infrequent Traveler","Mid-Range","Unknown","1","0","1","","616","","","",""
"510494","48","F","true","false","usa","kansas city","MCI","39.297","-94.714","2023-01-04","138","10","6","103.00","387.81","9","116","0","1","0","0.15","","0.56","0.56","1.11","5","36-50","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","5","10","5","6","1061","1849.8180","2910.8180","37","9569.58"
"510511","48","F","true","false","usa","stockton","SCK","37.894","-121.239","2023-01-04","149","7","2","231.00","309.71","8","139","0","0","2","","0.08","0.13","0.25","0.38","1","36-50","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Mid-Range","2","2","2","1","1523.0","309.71","1832.71","4","1881.73"
"510533","36","F","false","false","usa","jacksonville","JAX","30.494","-81.688","2023-01-04","109","4","1","168.00","245.45","8","102","0","1","2","0.10","0.13","0.13","0.13","0.25","1","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Infrequent Traveler","Mid-Range","Mid-Range","1","2","1","1","672","245.45","917.45","4","1294.46"
"510537","48","F","true","true","usa","austin","AUS","30.194","-97.67","2023-01-04","170","21","4","116.50","1995.05","10","126","0","3","2","0.12","0.08","0.40","0.40","0.80","4","36-50","Married With Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Luxury","5","8","4","6","2414.2","7980.19","10394.39","246","28179.13"
"510543","20","M","false","true","canada","toronto","YYZ","43.677","-79.631","2023-01-04","59","","","","","8","55","0","1","1","0.05","0.10","0.00","0.00","0.00","0","17-25","Single With Children","Medium Activity","No Flights Booked","Occasional Discount User","No Bookings","Short Sessions","No Bookings","Unknown","Unknown","","","","","","","","",""
"510545","59","F","false","false","usa","los angeles","LAX","33.942","-118.408","2023-01-04","118","5","1","342.00","","8","111","0","1","2","0.10","0.10","0.00","0.13","0.13","0","50+","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Hotel Only","Short Sessions","Infrequent Traveler","Luxury","Unknown","1","0","1","","1710","","","",""
"510558","24","M","false","true","usa","newark","EWR","40.692","-74.169","2023-01-04","146","1","1","114.00","1676.87","9","504","1","3","1","0.18","","0.33","0.22","0.56","2","17-25","Single With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Moderate Sessions","Occasional Traveler","Mid-Range","Luxury","1","1","1","1","114","359.89","473.89","8","4043.67"
"510570","44","F","false","false","usa","new york","JFK","40.64","-73.779","2023-01-04","113","22","5","178.00","426.52","9","93","0","2","1","0.15","0.10","0.22","0.44","0.67","2","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","4","4","4","2","4356","853.04","5209.04","8","4550.39"
"510571","21","F","true","true","usa","new york","LGA","40.777","-73.872","2023-01-04","91","30","6","209.00","9135.13","8","85","0","3","2","0.18","0.10","0.13","0.50","0.63","1","17-25","Married With Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Luxury","4","2","4","4","9330.0","9135.13","18465.13","225","15015.82"
"510575","23","F","false","true","usa","los angeles","LAX","33.942","-118.408","2023-01-04","75","","","","","8","70","0","0","1","","0.15","0.00","0.00","0.00","0","17-25","Single With Children","High Activity","No Flights Booked","Occasional Discount User","No Bookings","Short Sessions","No Bookings","Unknown","Unknown","","","","","","","","",""
"510580","54","M","false","false","usa","providence","PVD","41.724","-71.428","2023-01-04","90","9","3","134.00","393.64","8","84","0","0","0","","","0.25","0.38","0.63","2","50+","Single With No Children","High Activity","Low Cancellation","Non-Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Mid-Range","3","4","3","2","1401","787.28","2188.28","18","3971.67"
"510582","27","M","false","false","usa","phoenix","PHX","33.434","-112.008","2023-01-04","136","11","2","207.00","33.15","8","126","0","2","1","0.13","0.05","0.13","0.25","0.38","1","26-35","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Budget","2","2","2","1","2615.50","33.15","2648.65","4","175.43"
"510585","18","F","false","true","canada","montreal","YUL","45.468","-73.741","2023-01-04","100","13","1","239.00","1134.86","8","93","0","0","0","","","0.13","0.13","0.25","1","17-25","Single With Children","High Activity","Low Cancellation","Non-Discount User","Both Flight and Hotel","Short Sessions","Infrequent Traveler","Mid-Range","Luxury","1","2","1","2","3107","1134.86","4241.86","224","3203.20"
"510586","32","F","false","false","usa","new york","LGA","40.777","-73.872","2023-01-04","152","19","6","96.00","437.55","8","141","0","2","0","0.10","","0.63","0.63","1.25","4","26-35","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Budget","Mid-Range","5","9","5","6","1763","2187.74","3950.74","41","10596.92"
"510610","35","F","true","false","usa","new york","LGA","40.777","-73.872","2023-01-04","84","6","1","134.00","523.74","8","78","0","0","3","","0.10","0.13","0.13","0.25","1","26-35","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Infrequent Traveler","Mid-Range","Mid-Range","1","2","1","1","683.40","523.74","1207.14","7","2595.05"
"510618","47","F","true","true","usa","san diego","SAN","32.733","-117.189","2023-01-04","121","9","3","174.33","274.89","8","113","0","3","1","0.08","0.20","0.25","0.38","0.63","1","36-50","Married With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Mid-Range","3","3","3","2","1599.2","549.78","2148.98","12","3947.43"
"510676","49","F","true","true","usa","new york","LGA","40.777","-73.872","2023-01-05","125","4","4","45.67","290.70","8","118","0","0","2","","0.10","0.38","0.38","0.75","3","36-50","Married With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Budget","Mid-Range","3","6","3","4","248","872.09","1120.09","27","4697.39"
"510686","36","F","true","false","usa","st. petersburg","PIE","27.911","-82.687","2023-01-05","160","8","6","276.00","578.89","8","148","0","2","1","0.13","0.10","0.25","0.38","0.63","2","36-50","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Mid-Range","3","4","3","4","4975","983.902","5958.902","16","3467.41"
"510694","46","M","false","false","usa","anchorage","ANC","61.174","-149.996","2023-01-05","492","9","5","119.00","760.78","9","1041","1","1","2","","0.15","0.56","0.56","1.11","5","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Mid-Range","3","6","3","3","749.60","1908.71","2658.31","22","9983.61"
"510700","51","M","false","false","usa","newark","EWR","40.692","-74.169","2023-01-05","432","16","6","153.60","219.83","9","991","1","3","2","0.15","0.05","0.44","0.56","1.00","2","50+","Single With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Mid-Range","3","4","3","2","6215","169.0000","6384.0000","21","1033.69"
"510707","41","F","false","true","canada","toronto","YKZ","43.862","-79.37","2023-01-05","104","2","2","175.00","128.99","8","98","0","2","0","0.20","","0.25","0.13","0.38","2","36-50","Single With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Budget","2","4","1","3","700","257.98","957.98","15","1044.12"
"510719","36","F","true","true","canada","montreal","YMX","45.68","-74.039","2023-01-05","109","20","1","97.00","","9","90","0","2","1","0.13","0.10","0.00","0.11","0.11","0","36-50","Married With Children","High Activity","Low Cancellation","Occasional Discount User","Hotel Only","Short Sessions","Infrequent Traveler","Budget","Unknown","1","0","1","","1940","","","",""
"510733","46","F","true","true","canada","toronto","YKZ","43.862","-79.37","2023-01-05","92","2","1","108.00","373.38","8","86","0","2","1","0.13","0.15","0.25","0.13","0.38","2","36-50","Married With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Mid-Range","2","4","1","2","183.60","746.76","930.36","12","3882.87"
"510754","44","F","false","false","usa","charlotte","CLT","35.214","-80.943","2023-01-05","155","11","6","126.40","321.08","8","144","0","2","1","0.15","0.05","0.50","0.63","1.13","4","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","5","8","5","4","1426","1065.4500","2491.4500","26","6615.16"
"510779","41","F","false","false","canada","montreal","YHU","45.517","-73.417","2023-01-05","132","7","5","166.25","822.04","8","124","0","0","0","","","0.38","0.50","0.88","3","36-50","Single With No Children","High Activity","Low Cancellation","Non-Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","4","6","4","4","1204","2466.13","3670.13","27","8661.93"
"510805","73","F","false","false","usa","dallas","DAL","32.847","-96.852","2023-01-05","132","10","2","100.00","388.86","8","123","0","2","0","0.10","","0.13","0.25","0.38","1","50+","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Budget","Mid-Range","2","2","2","1","938","388.86","1326.86","5","2180.26"
"510815","56","F","true","true","usa","san antonio","SKF","29.384","-98.581","2023-01-05","168","20","4","225.25","356.89","9","139","0","2","0","0.15","","0.44","0.44","0.89","3","50+","Married With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","4","7","4","4","4163","1399.714","5562.714","26","9365.13"
"510822","46","F","false","false","usa","new york","JFK","40.64","-73.779","2023-01-05","136","18","4","212.67","522.74","9","112","0","2","6","0.18","0.15","0.33","0.33","0.67","3","36-50","Single With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","4","6","3","3","4191.05","1397.4750","5588.5250","13","8689.87"
"510828","21","F","false","false","usa","new york","LGA","40.777","-73.872","2023-01-05","104","","","","","9","86","0","2","0","0.20","","0.00","0.00","0.00","0","17-25","Single With No Children","High Activity","No Flights Booked","Occasional Discount User","No Bookings","Short Sessions","No Bookings","Unknown","Unknown","","","","","","","","",""
"510836","41","F","false","false","usa","nashville","BNA","36.124","-86.678","2023-01-05","164","8","5","138.20","228.36","8","153","0","1","0","0.15","","0.63","0.63","1.25","5","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","5","10","5","5","1117","1141.82","2258.82","34","6330.65"
"510841","38","M","false","false","canada","montreal","YMX","45.68","-74.039","2023-01-05","396","19","11","155.00","553.44","10","805","1","1","2","","0.10","0.90","0.90","1.80","9","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Mid-Range","7","14","7","7","2745.6","2643.92","5389.52","54","13898.01"
"510890","34","F","false","false","usa","dallas","DAL","32.847","-96.852","2023-01-05","157","11","3","117.00","313.68","9","131","0","1","1","0.05","0.10","0.44","0.33","0.78","4","26-35","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","5","8","3","4","1328.6","1254.73","2583.33","31","7068.76"
"510899","55","F","true","false","usa","kansas city","MCI","39.297","-94.714","2023-01-05","133","6","2","274.00","161.73","10","100","0","2","1","0.13","0.05","0.20","0.20","0.40","2","50+","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Budget","2","4","2","2","1364","323.46","1687.46","15","1914.71"
"510944","56","M","true","true","usa","chicago","UGN","42.422","-87.868","2023-01-05","149","3","3","242.33","279.23","8","140","0","1","3","0.10","0.10","0.75","0.38","1.13","6","50+","Married With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","6","12","3","8","712.6","1652.905","2365.505","46","7354.37"
"510946","47","F","true","false","canada","london","YXU","43.036","-81.154","2023-01-05","166","16","5","184.00","721.88","8","155","0","3","1","0.12","0.05","0.38","0.38","0.75","3","36-50","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","3","6","3","5","6826","2165.65","8991.65","25","8075.98"
"510953","45","F","false","false","usa","seattle","SEA","47.449","-122.309","2023-01-05","153","1","2","165.00","670.95","8","143","0","0","2","","0.10","0.25","0.13","0.38","2","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Mid-Range","2","4","1","3","330","1341.90","1671.90","15","4618.04"
"510960","39","F","false","false","usa","tallahassee","TLH","30.396","-84.35","2023-01-05","167","4","2","143.50","231.42","8","155","0","1","0","0.40","","0.38","0.25","0.63","3","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Mid-Range","3","6","2","3","574","694.26","1268.26","22","3761.10"
"510961","46","F","true","false","usa","st. petersburg","SPG","27.765","-82.627","2023-01-05","141","13","4","197.75","404.60","8","132","0","2","1","0.13","0.15","0.38","0.50","0.88","2","36-50","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","4","5","4","3","1862","1142.6385","3004.6385","15","7726.61"
"510972","28","F","true","true","usa","tucson","TUS","32.116","-110.941","2023-01-05","124","6","4","375.33","394.24","8","118","0","2","0","0.10","","0.38","0.38","0.75","3","26-35","Married With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Luxury","Mid-Range","3","6","3","4","2180","1082.25","3262.25","25","3871.04"
"511017","60","M","true","false","usa","chicago","UGN","42.422","-87.868","2023-01-05","96","1","1","177.00","511.25","8","89","0","2","0","0.13","","0.13","0.13","0.25","1","50+","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Infrequent Traveler","Mid-Range","Mid-Range","1","2","1","1","177","511.25","688.25","6","2882.98"
"511055","35","F","false","false","usa","des moines","DSM","41.534","-93.663","2023-01-05","109","3","3","191.00","314.46","8","102","0","2","0","0.13","","0.25","0.25","0.50","2","26-35","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Mid-Range","2","4","2","3","754","584.077","1338.077","16","2272.47"
"511066","35","F","false","false","usa","indianapolis","IND","39.717","-86.294","2023-01-05","178","6","4","155.67","335.23","8","165","0","1","0","0.05","","0.38","0.38","0.75","3","26-35","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","3","6","3","4","1047","982.7470","2029.7470","18","4174.67"
"511093","38","F","false","true","usa","milwaukee","MKE","42.947","-87.896","2023-01-05","129","9","3","137.00","221.68","8","121","0","3","2","0.17","0.10","0.25","0.38","0.63","2","36-50","Single With Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Mid-Range","3","4","3","2","874.6","413.7410","1288.3410","10","2559.26"
"511122","48","F","true","false","canada","montreal","YHU","45.517","-73.417","2023-01-05","112","4","2","186.50","94.47","8","104","0","2","1","0.15","0.05","0.25","0.25","0.50","2","36-50","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Budget","2","4","2","2","746","170.994","916.994","20","998.00"
